"attackers"
"name_and_country","price"
"Cristiano Ronaldo (POR)","€ 24"
"Zlatan Ibrahimovic (SWE)","€ 24"
"Thomas Müller (GER)","€ 23"
"Robert Lewandowski (POL)","€ 23"
"Kevin De Bruyne (BEL)","€ 22"
"Jamie Vardy (ENG)","€ 22"
"Eden Hazard (BEL)","€ 21"
"Antoine Griezmann (FRA)","€ 21"
"Romelu Lukaku (BEL)","€ 20"
"Harry Kane (ENG)","€ 20"
"Mario Gómez (GER)","€ 19"
"Mario Götze (GER)","€ 19"
"Lorenzo Insigne (ITA)","€ 19"
"Eder (POR)","€ 19"
"Christian Benteke (BEL)","€ 18"
"Wayne Rooney (ENG)","€ 18"
"Kingsley Coman (FRA)","€ 18"
"Stephan El Shaarawy (ITA)","€ 18"
"Ciro Immobile (ITA)","€ 18"
"Mario Mandžukic (CRO)","€ 18"
"Arek Milik (POL)","€ 18"
"Nani (POR)","€ 18"
"Álvaro Borja Morata (ESP)","€ 18"
"Dries Mertens (BEL)","€ 17"
"Leroy Sané (GER)","€ 17"
"Marcus Rashford (ENG)","€ 17"
"Daniel Sturridge (ENG)","€ 17"
"Anthony Martial (FRA)","€ 17"
"Graziano Pellè (ITA)","€ 17"
"Citadin Martins Eder (ITA)","€ 17"
"Ricardo Quaresma (POR)","€ 17"
"Aleksandr Kokorin (RUS)","€ 17"
"Nolito (ESP)","€ 17"
"Yannick Ferreira Carrasco (BEL)","€ 16"
"Divock Origi (BEL)","€ 16"
"Michy Batshuayi (BEL)","€ 16"
"Federico Bernardeschi (ITA)","€ 16"
"Artem Dzyuba (RUS)","€ 16"
"Sam Vokes (WAL)","€ 16"
"Marcus Berg (SWE)","€ 16"
"Olivier Giroud (FRA)","€ 15"
"Simone Zaza (ITA)","€ 15"
"Roman Zozulya (UKR)","€ 15"
"Pylyp Budkivskiy (UKR)","€ 15"
"Rafa Silva (POR)","€ 15"
"Lucas Vázquez (ESP)","€ 15"
"David Lafata (CZE)","€ 15"
"John Guidetti (SWE)","€ 15"
"Bekim Balaj (ALB)","€ 14"
"Sokol Cikalleshi (ALB)","€ 14"
"Dimitri Payet (FRA)","€ 14"
"André-Pierre Gignac (FRA)","€ 14"
"Ádám Szalai (HUN)","€ 14"
"Dániel Böde (HUN)","€ 14"
"Alfreð Finnbogason (ISL)","€ 14"
"Shane Long (IRL)","€ 14"
"Kyle Lafferty (NIR)","€ 14"
"Will Grigg (NIR)","€ 14"
"Mariusz Stepinski (POL)","€ 14"
"Denis Alibec (ROU)","€ 14"
"Fyodor Smolov (RUS)","€ 14"
"Burak Yilmaz (TUR)","€ 14"
"Simon Church (WAL)","€ 14"
"Admir Mehmedi (SUI)","€ 14"
"Armando Sadiku (ALB)","€ 13"
"Nemanja Nikolic (HUN)","€ 13"
"Krisztián Németh (HUN)","€ 13"
"Kolbeinn Sigþórsson (ISL)","€ 13"
"Eiður Smári Guðjohnsen (ISL)","€ 13"
"Robbie Keane (IRL)","€ 13"
"Yevhen Seleznyov (UKR)","€ 13"
"Bogdan Sorin Stancu (ROU)","€ 13"
"Michal Duriš (SVK)","€ 13"
"Adam Nemec (SVK)","€ 13"
"Aritz Aduriz (ESP)","€ 13"
"Hakan Çalhanoglu (TUR)","€ 13"
"Cenk Tosun (TUR)","€ 13"
"Emil Forsberg (SWE)","€ 13"
"Jón Daði Böðvarsson (ISL)","€ 12"
"Jonathan Walters (IRL)","€ 12"
"Daryl Murphy (IRL)","€ 12"
"Duje Cop (CRO)","€ 12"
"Josh Magennis (NIR)","€ 12"
"Jamie Ward (NIR)","€ 12"
"Conor Washington (NIR)","€ 12"
"Marc Janko (AUT)","€ 12"
"Claudiu Andrei Keserü (ROU)","€ 12"
"Florin Andone (ROU)","€ 12"
"Milan Škoda (CZE)","€ 12"
"Tomáš Necid (CZE)","€ 12"
"George Williams (WAL)","€ 12"
"Emir Kujovic (SWE)","€ 12"
"Eren Derdiyok (SUI)","€ 12"
"Haris Seferovic (SUI)","€ 12"
"Shkëlzen Gashi (ALB)","€ 11"
"Andrej Kramari¿ (CRO)","€ 11"
"Nikola Kalinic (CRO)","€ 11"
"Breel Donald Embolo (SUI)","€ 11"
"Zoltán Gera (HUN)","€ 10"
"Tomáš Priškin (HUN)","€ 10"
"Marko Pjaca (CRO)","€ 10"
"Lukas Hinterseer (AUT)","€ 10"
"Rubin Rafael Okotie (AUT)","€ 10"
"Shani Tarashaj (SUI)","€ 9"

