"country_fifa_rankings"
"country_name.text","country_name.href","ranking"
"Argentina","http://www.fifa.com/fifa-world-ranking/associations/association=arg/men/index.html","1"
"Belgium","http://www.fifa.com/fifa-world-ranking/associations/association=bel/men/index.html","2"
"Colombia","http://www.fifa.com/fifa-world-ranking/associations/association=col/men/index.html","3"
"Germany","http://www.fifa.com/fifa-world-ranking/associations/association=ger/men/index.html","4"
"Chile","http://www.fifa.com/fifa-world-ranking/associations/association=chi/men/index.html","5"
"Spain","http://www.fifa.com/fifa-world-ranking/associations/association=esp/men/index.html","6"
"Brazil","http://www.fifa.com/fifa-world-ranking/associations/association=bra/men/index.html","7"
"Portugal","http://www.fifa.com/fifa-world-ranking/associations/association=por/men/index.html","8"
"Uruguay","http://www.fifa.com/fifa-world-ranking/associations/association=uru/men/index.html","9"
"Austria","http://www.fifa.com/fifa-world-ranking/associations/association=aut/men/index.html","10"
"England","http://www.fifa.com/fifa-world-ranking/associations/association=eng/men/index.html","11"
"Italy","http://www.fifa.com/fifa-world-ranking/associations/association=ita/men/index.html","12"
"Ecuador","http://www.fifa.com/fifa-world-ranking/associations/association=ecu/men/index.html","13"
"Netherlands","http://www.fifa.com/fifa-world-ranking/associations/association=ned/men/index.html","14"
"Switzerland","http://www.fifa.com/fifa-world-ranking/associations/association=sui/men/index.html","15"
"Mexico","http://www.fifa.com/fifa-world-ranking/associations/association=mex/men/index.html","16"
"France","http://www.fifa.com/fifa-world-ranking/associations/association=fra/men/index.html","17"
"Turkey","http://www.fifa.com/fifa-world-ranking/associations/association=tur/men/index.html","18"
"Ukraine","http://www.fifa.com/fifa-world-ranking/associations/association=ukr/men/index.html","19"
"Hungary","http://www.fifa.com/fifa-world-ranking/associations/association=hun/men/index.html","20"
"Bosnia and Herzegovina","http://www.fifa.com/fifa-world-ranking/associations/association=bih/men/index.html","20"
"Romania","http://www.fifa.com/fifa-world-ranking/associations/association=rou/men/index.html","22"
"Costa Rica","http://www.fifa.com/fifa-world-ranking/associations/association=crc/men/index.html","23"
"Slovakia","http://www.fifa.com/fifa-world-ranking/associations/association=svk/men/index.html","24"
"Northern Ireland","http://www.fifa.com/fifa-world-ranking/associations/association=nir/men/index.html","25"
"Wales","http://www.fifa.com/fifa-world-ranking/associations/association=wal/men/index.html","26"
"Croatia","http://www.fifa.com/fifa-world-ranking/associations/association=cro/men/index.html","27"
"Poland","http://www.fifa.com/fifa-world-ranking/associations/association=pol/men/index.html","27"
"Russia","http://www.fifa.com/fifa-world-ranking/associations/association=rus/men/index.html","29"
"Czech Republic","http://www.fifa.com/fifa-world-ranking/associations/association=cze/men/index.html","30"
"USA","http://www.fifa.com/fifa-world-ranking/associations/association=usa/men/index.html","31"
"Algeria","http://www.fifa.com/fifa-world-ranking/associations/association=alg/men/index.html","32"
"Republic of Ireland","http://www.fifa.com/fifa-world-ranking/associations/association=irl/men/index.html","33"
"Iceland","http://www.fifa.com/fifa-world-ranking/associations/association=isl/men/index.html","34"
"Sweden","http://www.fifa.com/fifa-world-ranking/associations/association=swe/men/index.html","35"
"Côte d'Ivoire","http://www.fifa.com/fifa-world-ranking/associations/association=civ/men/index.html","36"
"Ghana","http://www.fifa.com/fifa-world-ranking/associations/association=gha/men/index.html","37"
"Denmark","http://www.fifa.com/fifa-world-ranking/associations/association=den/men/index.html","38"
"Iran","http://www.fifa.com/fifa-world-ranking/associations/association=irn/men/index.html","39"
"Greece","http://www.fifa.com/fifa-world-ranking/associations/association=gre/men/index.html","40"
"Senegal","http://www.fifa.com/fifa-world-ranking/associations/association=sen/men/index.html","41"
"Albania","http://www.fifa.com/fifa-world-ranking/associations/association=alb/men/index.html","42"
"Scotland","http://www.fifa.com/fifa-world-ranking/associations/association=sco/men/index.html","43"
"Paraguay","http://www.fifa.com/fifa-world-ranking/associations/association=par/men/index.html","44"
"Egypt","http://www.fifa.com/fifa-world-ranking/associations/association=egy/men/index.html","45"
"Jamaica","http://www.fifa.com/fifa-world-ranking/associations/association=jam/men/index.html","46"
"Tunisia","http://www.fifa.com/fifa-world-ranking/associations/association=tun/men/index.html","47"
"Peru","http://www.fifa.com/fifa-world-ranking/associations/association=per/men/index.html","48"
"Cape Verde Islands","http://www.fifa.com/fifa-world-ranking/associations/association=cpv/men/index.html","49"
"Korea Republic","http://www.fifa.com/fifa-world-ranking/associations/association=kor/men/index.html","50"

