"defenders"
"name_and_country","price"
"Jan Vertonghen (BEL)","€ 18"
"Toby Alderweireld (BEL)","€ 18"
"Mats Hummels (GER)","€ 18"
"Giorgio Chiellini (ITA)","€ 18"
"Sergio Ramos (ESP)","€ 18"
"Gerard Piqué (ESP)","€ 18"
"Jérôme Boateng (GER)","€ 16"
"Benedikt Höwedes (GER)","€ 16"
"Emre Can (GER)","€ 16"
"Laurent Koscielny (FRA)","€ 16"
"Patrice Evra (FRA)","€ 16"
"Leonardo Bonucci (ITA)","€ 16"
"Pepe (POR)","€ 16"
"Jordi Alba (ESP)","€ 16"
"Thomas Vermaelen (BEL)","€ 15"
"Jason Denayer (BEL)","€ 15"
"John Stones (ENG)","€ 15"
"Kyle Walker (ENG)","€ 15"
"Eliaquim Mangala (FRA)","€ 15"
"Mattia De Sciglio (ITA)","€ 15"
"Andrea Barzagli (ITA)","€ 15"
"Lukasz Piszczek (POL)","€ 15"
"Bruno Alves (POR)","€ 15"
"José Fonte (POR)","€ 15"
"Roman Neustädter (RUS)","€ 15"
"Martin Škrtel (SVK)","€ 15"
"César Azpilicueta (ESP)","€ 15"
"Ben Davies (WAL)","€ 15"
"Stephan Lichtsteiner (SUI)","€ 15"
"Elseid Hysaj (ALB)","€ 14"
"Jonas Hector (GER)","€ 14"
"Shkodran Mustafi (GER)","€ 14"
"Gary Cahill (ENG)","€ 14"
"Adil Rami (FRA)","€ 14"
"Ragnar Sigurdsson (ISL)","€ 14"
"Sverrir Ingi Ingason (ISL)","€ 14"
"Hörður Magnússon (ISL)","€ 14"
"Angelo Obinze Ogbonna (ITA)","€ 14"
"Darijo Srna (CRO)","€ 14"
"Bogdan Butko (UKR)","€ 14"
"Vyacheslav Shevchuk (UKR)","€ 14"
"Yaroslav Rakitskiy (UKR)","€ 14"
"Thiago Cionek (POL)","€ 14"
"Roman Shishkin (RUS)","€ 14"
"Juanfran (ESP)","€ 14"
"Hector Bellerin (ESP)","€ 14"
"Semih Kaya (TUR)","€ 14"
"Ashley Williams (WAL)","€ 14"
"James Collins (WAL)","€ 14"
"Andreas Granqvist (SWE)","€ 14"
"Mikael Lustig (SWE)","€ 14"
"Pontus Jansson (SWE)","€ 14"
"Ricardo Rodriguez (SUI)","€ 14"
"Lorik Cana (ALB)","€ 13"
"Laurent Ciman (BEL)","€ 13"
"Antonio Rüdiger (GER)","€ 13"
"Nathaniel Clyne (ENG)","€ 13"
"Samuel Umtiti (FRA)","€ 13"
"Christophe Jallet (FRA)","€ 13"
"Bacary Sagna (FRA)","€ 13"
"John O'Shea (IRL)","€ 13"
"Séamus Coleman (IRL)","€ 13"
"Ivan Strini¿ (CRO)","€ 13"
"Vedran Corluka (CRO)","€ 13"
"Jonny Evans (NIR)","€ 13"
"Craig Cathcart (NIR)","€ 13"
"Aaron Hughes (NIR)","€ 13"
"Artem Fedetskiy (UKR)","€ 13"
"Olexandr Kucher (UKR)","€ 13"
"Christian Fuchs (AUT)","€ 13"
"Kamil Jacek Glik (POL)","€ 13"
"Ricardo Carvalho (POR)","€ 13"
"Cédric Soares (POR)","€ 13"
"Vlad Iulian Chiriches (ROU)","€ 13"
"Igor Smolnikov (RUS)","€ 13"
"Georgi Sjtsjennikov (RUS)","€ 13"
"Tomáš Hubocan (SVK)","€ 13"
"Milan Skriniar (SVK)","€ 13"
"Roman Hubnik (CZE)","€ 13"
"Gökhan Gönül (TUR)","€ 13"
"Caner Erkin (TUR)","€ 13"
"Neil Taylor (WAL)","€ 13"
"Christian Kabasele (BEL)","€ 12"
"Jordan Lukaku (BEL)","€ 12"
"Thomas Meunier (BEL)","€ 12"
"Chris Smalling (ENG)","€ 12"
"Richárd Guzmics (HUN)","€ 12"
"Roland Juhász (HUN)","€ 12"
"Tamás Kádár (HUN)","€ 12"
"Haukur Heidar Hauksson (ISL)","€ 12"
"Hjörtur Hermannsson (ISL)","€ 12"
"Birkir Már Sævarsson (ISL)","€ 12"
"Cyrus Christie (IRL)","€ 12"
"Matteo Darmian (ITA)","€ 12"
"Gareth McAuley (NIR)","€ 12"
"Patrick McNair (NIR)","€ 12"
"Sebastian Prödl (AUT)","€ 12"
"Raphaël Guerreiro (POR)","€ 12"
"Eliseu (POR)","€ 12"
"Ionut Cristian Sapunaru (ROU)","€ 12"
"Razvan Rat (ROU)","€ 12"
"Vasiliy Berezutski (RUS)","€ 12"
"Alexei Berezutski (RUS)","€ 12"
"Peter Pekarík (SVK)","€ 12"
"Marc Bartra (ESP)","€ 12"
"Theodor Gebre Selassie (CZE)","€ 12"
"Michal Kadlec (CZE)","€ 12"
"Ahmet Yilmaz Calik (TUR)","€ 12"
"Ismail Köybasi (TUR)","€ 12"
"Sener Özbayrakli (TUR)","€ 12"
"Hakan Kadir Balta (TUR)","€ 12"
"James Chester (WAL)","€ 12"
"Martin Olsson (SWE)","€ 12"
"Johan Djourou (SUI)","€ 12"
"Mërgim Mavraj (ALB)","€ 11"
"Danny Rose (ENG)","€ 11"
"Shane Ferguson (NIR)","€ 11"
