,away_FT_goals,away_atk,away_corners,away_def,away_formation,away_fouls,away_gk,away_mid,away_red,away_shots,away_shots_target,away_team,away_yellow,date,home_FT_goals,home_atk,home_corners,home_def,home_formation,home_fouls,home_gk,home_mid,home_red,home_shots,home_shots_target,home_team,home_yellow,B365A,B365H,B365D
0,1,,4,,,12,,,1,6,3,St Johnstone,2,2010-08-13,1,,9,,,12,,,0,8,1,Hearts,2,,,
1,0,,11,,,15,,,0,14,5,Dundee United,3,2010-08-13,0,,4,,,11,,,0,3,2,St Mirren,2,,,
2,0,,6,,,8,,,0,7,3,Kilmarnock,1,2010-08-13,1,,12,,,14,,,0,20,12,Rangers,0,,,
3,0,,12,,,7,,,0,22,15,Celtic,0,2010-08-13,0,,1,,,11,,,0,8,3,Inverness C,0,,,
4,0,,5,,,12,,,0,10,3,Hamilton,1,2010-08-13,2,,4,,,22,,,0,7,3,Aberdeen,1,,,
5,1,,7,,,13,,,0,15,10,Hibernian,2,2010-08-14,1,,5,,,8,,,0,15,10,Motherwell,0,,,
6,2,,6,,,11,,,1,8,4,Hearts,2,2010-08-20,0,,7,,,14,,,1,2,1,Hamilton,1,,,
7,0,,4,,,14,,,0,9,4,Aberdeen,3,2010-08-20,0,,5,,,15,,,0,6,2,St Johnstone,2,,,
8,0,,0,,,6,,,0,1,1,St Mirren,2,2010-08-21,2,,12,,,7,,,0,16,8,Celtic,1,,,
9,1,,4,,,8,,,0,9,6,Inverness C,0,2010-08-21,0,,9,,,7,,,0,5,3,Dundee United,0,,,
10,0,,5,,,12,,,1,9,7,Rangers,2,2010-08-21,0,,4,,,17,,,1,11,7,Hibernian,2,,,
11,1,,2,,,20,,,0,3,3,Motherwell,3,2010-08-21,0,,9,,,7,,,0,8,2,Kilmarnock,2,,,
12,0,,6,,,9,,,0,19,12,Kilmarnock,1,2010-08-27,0,,6,,,6,,,0,10,5,Aberdeen,1,,,
13,1,,5,,,14,,,0,8,4,Hamilton,1,2010-08-27,0,,6,,,13,,,0,2,1,Inverness C,2,,,
14,1,,3,,,14,,,0,6,3,St Johnstone,2,2010-08-27,1,,1,,,13,,,0,15,10,Rangers,3,,,
15,0,,9,,,13,,,0,7,5,Dundee United,2,2010-08-28,1,,8,,,14,,,0,14,7,Hearts,1,,,
16,0,,5,,,13,,,0,18,6,Celtic,2,2010-08-28,0,,3,,,11,,,1,5,2,Motherwell,1,,,
17,0,,5,,,13,,,0,7,1,Hibernian,1,2010-08-28,0,,0,,,11,,,0,4,2,St Mirren,3,,,
18,2,,1,,,10,,,0,6,2,Motherwell,0,2010-09-10,0,,7,,,13,,,0,6,1,St Johnstone,0,,,
19,0,,4,,,11,,,1,6,2,St Mirren,2,2010-09-10,1,,5,,,8,,,0,22,8,Kilmarnock,1,,,
20,1,,6,,,18,,,0,7,6,Rangers,2,2010-09-10,0,,4,,,17,,,0,6,3,Hamilton,2,,,
21,0,,4,,,12,,,0,6,3,Hearts,1,2010-09-10,2,,3,,,10,,,0,12,8,Celtic,0,,,
22,0,,7,,,6,,,0,11,2,Inverness C,1,2010-09-10,1,,5,,,11,,,0,9,4,Hibernian,2,,,
23,1,,10,,,14,,,0,4,4,Aberdeen,4,2010-09-10,3,,9,,,8,,,0,7,4,Dundee United,0,,,
24,1,,8,,,12,,,0,6,3,Hamilton,1,2010-09-17,1,,5,,,13,,,0,8,3,Hibernian,1,,,
25,1,,9,,,9,,,0,11,8,Hearts,2,2010-09-17,1,,5,,,11,,,0,11,8,Inverness C,2,,,
26,0,,2,,,9,,,0,5,2,Aberdeen,0,2010-09-17,1,,2,,,14,,,0,9,4,Motherwell,1,,,
27,0,,5,,,12,,,0,5,2,Dundee United,2,2010-09-17,1,,4,,,6,,,0,17,12,Rangers,0,,,
28,1,,3,,,14,,,0,4,1,St Mirren,2,2010-09-17,2,,2,,,13,,,0,9,6,St Johnstone,0,,,
29,1,,10,,,10,,,0,6,3,Celtic,2,2010-09-18,1,,2,,,10,,,0,2,1,Kilmarnock,3,,,
30,0,,5,,,10,,,0,14,11,Motherwell,1,2010-09-24,0,,6,,,20,,,0,6,1,Hearts,2,,,
31,1,,7,,,16,,,0,10,3,Inverness C,2,2010-09-24,0,,8,,,9,,,0,8,4,St Mirren,1,,,
32,0,,4,,,15,,,0,6,3,Kilmarnock,0,2010-09-24,2,,9,,,12,,,0,8,6,Hamilton,5,,,
33,0,,0,,,7,,,0,4,1,Hibernian,1,2010-09-24,1,,9,,,11,,,0,12,6,Celtic,1,,,
