,B365A,B365D,B365H,away_team_goal,date,home_team_goal,match_id
0,11.0,5.5,1.29,1,2008-08-17 00:00:00,1,489042
1,,,,0,2008-08-16 00:00:00,1,489043
2,1.67,3.6,5.5,1,2008-08-16 00:00:00,0,489044
3,4.2,3.4,1.91,1,2008-08-16 00:00:00,2,489045
4,4.33,3.4,1.91,2,2008-08-17 00:00:00,4,489046
5,4.0,3.3,2.0,3,2008-08-16 00:00:00,2,489047
6,2.25,3.4,3.2,1,2008-08-16 00:00:00,2,489048
7,4.5,3.5,1.83,1,2008-08-16 00:00:00,3,489049
8,2.8,3.2,2.6,1,2008-08-16 00:00:00,2,489050
9,10.0,5.0,1.33,0,2008-08-17 00:00:00,4,489051
10,19.0,6.0,1.2,0,2008-10-29 00:00:00,2,489132
11,7.5,4.5,1.44,4,2008-10-29 00:00:00,4,489133
12,2.5,3.3,2.88,0,2008-10-29 00:00:00,2,489134
13,2.75,3.3,2.6,1,2008-10-29 00:00:00,0,489135
14,1.44,4.33,8.0,3,2008-10-29 00:00:00,0,489136
15,2.75,3.3,2.6,0,2008-10-29 00:00:00,1,489137
16,10.0,5.0,1.33,0,2008-10-29 00:00:00,1,489138
17,5.5,3.75,1.67,2,2008-10-29 00:00:00,3,489139
18,4.5,3.5,1.83,1,2008-10-28 00:00:00,2,489140
19,3.0,3.3,2.38,0,2008-10-29 00:00:00,2,489141
20,17.0,7.0,1.17,3,2008-11-01 00:00:00,4,489142
21,2.1,3.3,3.5,1,2008-11-01 00:00:00,2,489143
22,5.5,3.75,1.67,0,2008-11-01 00:00:00,1,489144
23,4.0,3.3,2.0,1,2008-11-01 00:00:00,1,489145
24,2.38,3.3,3.0,0,2008-11-03 00:00:00,2,489146
25,2.38,3.3,3.0,0,2008-11-02 00:00:00,2,489147
26,2.88,3.3,2.5,2,2008-11-01 00:00:00,2,489148
27,4.2,3.4,1.91,2,2008-11-01 00:00:00,1,489149
28,1.4,4.5,8.0,1,2008-11-01 00:00:00,2,489150
29,21.0,6.5,1.17,0,2008-11-01 00:00:00,5,489151
30,2.3,3.25,3.25,1,2008-11-08 00:00:00,2,489152
31,19.0,6.0,1.2,0,2008-11-08 00:00:00,3,489153
32,3.0,3.3,2.38,2,2008-11-08 00:00:00,1,489154
33,2.8,3.25,2.6,3,2008-11-08 00:00:00,1,489155
34,5.0,3.8,1.7,2,2008-11-09 00:00:00,1,489156
35,3.3,3.3,2.25,2,2008-11-09 00:00:00,1,489157
36,1.44,4.33,8.0,2,2008-11-09 00:00:00,0,489158
37,3.1,3.25,2.38,1,2008-11-09 00:00:00,2,489159
38,3.4,3.25,2.25,1,2008-11-08 00:00:00,0,489160
39,5.0,3.4,1.8,0,2008-11-08 00:00:00,0,489161
40,23.0,7.5,1.14,0,2008-11-15 00:00:00,5,489162
41,7.0,4.0,1.5,2,2008-11-15 00:00:00,0,489163
42,2.88,3.25,2.5,0,2008-11-15 00:00:00,0,489164
43,4.5,3.5,1.83,1,2008-11-16 00:00:00,1,489165
44,3.6,3.3,2.1,2,2008-11-15 00:00:00,2,489166
45,3.8,3.4,2.0,2,2008-11-15 00:00:00,1,489167
46,2.25,3.3,3.3,1,2008-11-15 00:00:00,2,489168
47,1.62,3.75,6.0,2,2008-11-15 00:00:00,0,489169
48,1.3,5.0,12.0,3,2008-11-15 00:00:00,0,489170
49,2.5,3.25,2.88,2,2008-11-16 00:00:00,2,489171
50,15.0,5.5,1.25,0,2008-11-22 00:00:00,0,489172
51,3.5,3.4,2.1,1,2008-11-23 00:00:00,0,489173
52,4.75,3.75,1.73,0,2008-11-23 00:00:00,1,489174
53,1.73,3.6,5.0,0,2008-11-22 00:00:00,0,489175
54,4.33,3.4,1.91,3,2008-11-22 00:00:00,1,489176
55,2.2,3.4,3.25,0,2008-11-22 00:00:00,3,489177
56,4.5,3.6,1.8,2,2008-11-22 00:00:00,2,489178
57,3.4,3.3,2.2,0,2008-11-22 00:00:00,1,489179
58,2.88,3.3,2.5,0,2008-11-24 00:00:00,1,489180
59,19.0,6.0,1.2,0,2008-11-22 00:00:00,0,489181
60,12.0,5.0,1.3,0,2008-12-01 00:00:00,0,489182
61,3.3,3.3,2.25,4,2008-11-29 00:00:00,1,489183
62,4.0,3.5,1.91,1,2008-11-30 00:00:00,0,489184
63,6.5,3.8,1.57,0,2008-11-29 00:00:00,0,489185
64,3.4,3.3,2.2,0,2008-11-29 00:00:00,0,489186
65,1.83,3.6,4.33,1,2008-11-30 00:00:00,0,489187
66,3.6,3.3,2.1,2,2008-11-30 00:00:00,3,489188
67,2.88,3.4,2.4,1,2008-11-29 00:00:00,1,489189
68,5.0,3.6,1.73,1,2008-11-29 00:00:00,2,489190
69,5.0,3.4,1.8,2,2008-11-30 00:00:00,1,489191
70,23.0,7.5,1.14,0,2008-12-06 00:00:00,1,489192
71,11.0,4.75,1.33,0,2008-12-06 00:00:00,1,489193
72,2.62,3.25,2.75,2,2008-12-08 00:00:00,0,489194
73,2.75,3.25,2.62,3,2008-12-07 00:00:00,2,489195
74,4.75,3.5,1.8,2,2008-12-06 00:00:00,2,489196
75,1.73,3.5,5.5,3,2008-12-06 00:00:00,1,489197
76,2.8,3.2,2.6,1,2008-12-06 00:00:00,1,489198
77,1.53,3.8,7.0,2,2008-12-06 00:00:00,0,489199
78,2.75,3.25,2.62,1,2008-12-07 00:00:00,1,489200
79,3.1,3.25,2.38,1,2008-12-06 00:00:00,2,489201
80,10.0,5.0,1.33,2,2008-12-13 00:00:00,2,489202
81,3.8,3.4,2.0,0,2008-12-13 00:00:00,4,489203
82,1.83,3.5,4.5,0,2008-12-13 00:00:00,0,489204
83,5.5,3.6,1.67,2,2008-12-13 00:00:00,4,489205
84,1.8,3.6,4.5,1,2008-12-13 00:00:00,1,489206
85,3.8,3.4,2.0,1,2008-12-13 00:00:00,0,489207
86,3.4,3.2,2.05,3,2008-12-14 00:00:00,0,489208
87,2.88,3.25,2.5,0,2008-12-13 00:00:00,0,489209
88,3.6,3.3,2.1,0,2008-12-13 00:00:00,3,489210
89,15.0,5.5,1.25,1,2008-12-14 00:00:00,1,489211
90,15.0,6.0,1.2,0,2009-01-14 00:00:00,1,489212
91,3.0,3.25,2.4,1,2008-12-21 00:00:00,1,489213
92,2.37,3.4,3.0,1,2008-12-20 00:00:00,0,489214
93,1.73,3.6,5.0,0,2008-12-22 00:00:00,0,489215
94,3.0,3.4,2.37,1,2008-12-21 00:00:00,2,489216
95,4.5,3.5,1.83,0,2008-12-20 00:00:00,3,489217
96,3.5,3.25,2.2,0,2008-12-20 00:00:00,3,489218
97,3.4,3.25,2.2,1,2008-12-20 00:00:00,2,489219
98,2.25,3.3,3.25,1,2008-12-21 00:00:00,2,489220
99,3.75,3.25,2.1,4,2008-12-20 00:00:00,1,489221
100,12.0,4.5,1.33,0,2008-12-26 00:00:00,3,489222
101,3.3,3.25,2.25,0,2008-12-26 00:00:00,0,489224
102,5.0,3.6,1.72,0,2008-12-26 00:00:00,0,489225
103,2.87,3.3,2.5,2,2008-12-26 00:00:00,2,489226
104,2.87,3.3,2.5,1,2008-12-26 00:00:00,0,489227
105,4.5,3.6,1.8,1,2008-12-26 00:00:00,5,489228
106,3.4,3.25,2.2,4,2008-12-26 00:00:00,1,489229
107,1.3,5.0,12.0,1,2008-12-26 00:00:00,0,489230
108,3.25,3.3,2.25,1,2008-12-26 00:00:00,2,489231
109,21.0,7.5,1.14,0,2008-12-26 00:00:00,2,489232
110,10.0,4.5,1.36,1,2008-08-23 00:00:00,2,489052
111,7.0,4.0,1.5,2,2008-08-23 00:00:00,1,489053
