"keepers"
"name_and_country","price"
"Manuel Neuer (GER)","€ 21"
"Thibaut Courtois (BEL)","€ 20"
"Hugo Lloris (FRA)","€ 19"
"Gianluigi Buffon (ITA)","€ 19"
"David De Gea (ESP)","€ 19"
"Joe Hart (ENG)","€ 18"
"Federico Marchetti (ITA)","€ 18"
"Marc-André ter Stegen (GER)","€ 17"
"Wojciech Szczesny (POL)","€ 17"
"Rui Patricio (POR)","€ 17"
"Simon Mignolet (BEL)","€ 16"
"Anthony Lopes (POR)","€ 16"
"Iker Casillas (ESP)","€ 16"
"Wayne Hennessey (WAL)","€ 16"
"Steve Mandanda (FRA)","€ 15"
"Salvatore Sirigu (ITA)","€ 15"
"Artur Boruc (POL)","€ 15"
"Igor Akinfeev (RUS)","€ 15"
"Lukasz Fabianski (POL)","€ 14"
"Petr Cech (CZE)","€ 14"
"Danny Ward (WAL)","€ 14"
"Gábor Király (HUN)","€ 13"
"Yuri Lodygin (RUS)","€ 13"
"Sergio Rico (ESP)","€ 13"
"Andreas Isaksson (SWE)","€ 13"
"Roman Bürki (SUI)","€ 13"
"Etrit Berisha (ALB)","€ 12"
"Jean-François Gillet (BEL)","€ 12"
"Bernd Leno (GER)","€ 12"
"Shay Given (IRL)","€ 12"
"Danijel Subašic (CRO)","€ 12"
"Andriy Pyatov (UKR)","€ 12"
"Robert Almer (AUT)","€ 12"
"Eduardo (POR)","€ 12"
"Costel Fane Pantilimon (ROU)","€ 12"
"Ján Novota (SVK)","€ 12"
"Yann Sommer (SUI)","€ 12"
"Ciprian Anton Tatarusanu (ROU)","€ 11"
"Marinato Guilherme (RUS)","€ 11"
"Volkan Babacan (TUR)","€ 11"
"Fraser Forster (ENG)","€ 10"
"Benoît Costil (FRA)","€ 10"
"Dénes Dibusz (HUN)","€ 10"
"Hannes Þór Halldórsson (ISL)","€ 10"
"Roy Carroll (NIR)","€ 10"
"Tomáš Vaclík (CZE)","€ 10"
"Onur Recep Kivrak (TUR)","€ 10"
"Owain Fon Williams (WAL)","€ 10"
"Robin Olsen (SWE)","€ 10"
"Keiren Westwood (IRL)","€ 9"
"Heinz Lindner (AUT)","€ 9"
"Ján Mucha (SVK)","€ 9"
"Orges Shehi (ALB)","€ 8"
"Tom Heaton (ENG)","€ 8"
"Ingvar Jónsson (ISL)","€ 8"
"Ögmundur Kristinsson (ISL)","€ 8"
"Lovre Kalinic (CRO)","€ 8"
"Michael McGovern (NIR)","€ 8"
"Alan Mannus (NIR)","€ 8"
"Denis Boyko (UKR)","€ 8"
"Mykyta Shevchenko (UKR)","€ 8"
"Ramazan Özcan (AUT)","€ 8"
"Silviu Lung (ROU)","€ 8"
"Harun Tekin (TUR)","€ 8"
"Patrik Carlgren (SWE)","€ 8"
"Marwin Hitz (SUI)","€ 8"
"Darren Randolph (IRL)","€ 7"
"Ivan Vargic (CRO)","€ 7"
"Alban Hoxha (ALB)","€ 6"
"Péter Gulácsi (HUN)","€ 6"
"Matúš Kozacik (SVK)","€ 6"
"Tomáš Koubek (CZE)","€ 6"

