"midfielders"
"name_and_country","price"
"Paul Pogba (FRA)","€ 23"
"Toni Kroos (GER)","€ 21"
"Gareth Bale (WAL)","€ 21"
"Axel Witsel (BEL)","€ 20"
"Julian Draxler (GER)","€ 20"
"Radja Nainggolan (BEL)","€ 19"
"Mesut Özil (GER)","€ 19"
"Jordan Henderson (ENG)","€ 19"
"James Milner (ENG)","€ 19"
"N'Golo Kanté (FRA)","€ 19"
"Sergio Busquets (ESP)","€ 19"
"Bastian Schweinsteiger (GER)","€ 18"
"André Schürrle (GER)","€ 18"
"Sami Khedira (GER)","€ 18"
"Yohan Cabaye (FRA)","€ 18"
"Blaise Matuidi (FRA)","€ 18"
"Thiago Motta (ITA)","€ 18"
"Daniele De Rossi (ITA)","€ 18"
"Grzegorz Krychowiak (POL)","€ 18"
"Joao Moutinho (POR)","€ 18"
"Marek Hamšík (SVK)","€ 18"
"David Silva (ESP)","€ 18"
"Andrés Iniesta (ESP)","€ 18"
"Joe Allen (WAL)","€ 18"
"Marouane Fellaini (BEL)","€ 17"
"Bamidele Alli (ENG)","€ 17"
"Raheem Shaquille Sterling (ENG)","€ 17"
"Stefano Sturaro (ITA)","€ 17"
"Luka Modric (CRO)","€ 17"
"Jakub Blaszczykowski (POL)","€ 17"
"Aaron Ramsey (WAL)","€ 17"
"Mousa Dembélé (BEL)","€ 16"
"Joshua Kimmich (GER)","€ 16"
"Alessandro Florenzi (ITA)","€ 16"
"Ivan Rakitic (CRO)","€ 16"
"Yevhen Konoplyanka (UKR)","€ 16"
"Andriy Yarmolenko (UKR)","€ 16"
"Krzysztof Maczynski (POL)","€ 16"
"Karol Linetty (POL)","€ 16"
"Renato Sanches (POR)","€ 16"
"Vieirinha (POR)","€ 16"
"Denis Glushakov (RUS)","€ 16"
"Oleg Shatov (RUS)","€ 16"
"Francesc Fàbregas (ESP)","€ 16"
"Pedro (ESP)","€ 16"
"Jorge Koke (ESP)","€ 16"
"Arda Turan (TUR)","€ 16"
"Lukas Podolski (GER)","€ 15"
"Julian Weigl (GER)","€ 15"
"Adam Lallana (ENG)","€ 15"
"Ross Barkley (ENG)","€ 15"
"Moussa Sissoko (FRA)","€ 15"
"Morgan Schneiderlin (FRA)","€ 15"
"Ivan Perišic (CRO)","€ 15"
"David Alaba (AUT)","€ 15"
"Marko Arnautovic (AUT)","€ 15"
"Piotr Zielinski (POL)","€ 15"
"Miroslav Stoch (SVK)","€ 15"
"Tomas Rosicky (CZE)","€ 15"
"Nuri Sahin (TUR)","€ 15"
"David Edwards (WAL)","€ 15"
"Joe Ledley (WAL)","€ 15"
"Xherdan Shaqiri (SUI)","€ 15"
"Jack Wilshere (ENG)","€ 14"
"Taras Stepanenko (UKR)","€ 14"
"Kamil Grosicki (POL)","€ 14"
"William Carvalho (POR)","€ 14"
"Alexandr Samedov (RUS)","€ 14"
"Artur Yusupov (RUS)","€ 14"
"Roman Shirokov (RUS)","€ 14"
"Dmitri Torbinski (RUS)","€ 14"
"Thiago Alcântara (ESP)","€ 14"
"David Pavelka (CZE)","€ 14"
"Emre Mor (TUR)","€ 14"
"Selçuk Inan (TUR)","€ 14"
"Jonny Williams (WAL)","€ 14"
"Granit Xhaka (SUI)","€ 14"
"László Kleinheisler (HUN)","€ 13"
"Balázs Dzsudzsák (HUN)","€ 13"
"Gylfi Þór Sigurðsson (ISL)","€ 13"
"Birkir Bjarnason (ISL)","€ 13"
"James McCarthy (IRL)","€ 13"
"Marco Parolo (ITA)","€ 13"
"Emanuele Giaccherini (ITA)","€ 13"
"Antonio Candreva (ITA)","€ 13"
"Mateo Kovacic (CRO)","€ 13"
"Steven Davis (NIR)","€ 13"
"Bartosz Kapustka (POL)","€ 13"
"Slawomir Peszko (POL)","€ 13"
"Tomasz Jodlowiec (POL)","€ 13"
"Adrien Silva (POR)","€ 13"
"André Gomes (POR)","€ 13"
"Gabriel Andrei Torje (ROU)","€ 13"
"Alexandru Chipciu (ROU)","€ 13"
"Bruno Soriano (ESP)","€ 13"
"Jaroslav Plasil (CZE)","€ 13"
"Volkan Sen (TUR)","€ 13"
"Oguzhan Özyakup (TUR)","€ 13"
"Pontus Wernbloom (SWE)","€ 13"
"Oscar Hiljemark (SWE)","€ 13"
"Sebastian Larsson (SWE)","€ 13"
"Ermir Lenjani (ALB)","€ 12"
"Amir Abrashi (ALB)","€ 12"
"Taulant Xhaka (ALB)","€ 12"
"Eric Dier (ENG)","€ 12"
"Ákos Elek (HUN)","€ 12"
"Zoltán Stieber (HUN)","€ 12"
"Emil Hallfreðsson (ISL)","€ 12"
"Marko Rog (CRO)","€ 12"
"Corry Evans (NIR)","€ 12"
"Oleksandr Zinchenko (UKR)","€ 12"
"Ruslan Rotan (UKR)","€ 12"
"Anatoliy Tymoshchuk (UKR)","€ 12"
"Julian Baumgartlinger (AUT)","€ 12"
"Zlatko Junuzovic (AUT)","€ 12"
"Filip Starzynski (POL)","€ 12"
"Danilo Pereira (POR)","€ 12"
"Nicolae Claudiu Stanciu (ROU)","€ 12"
"Andrei Prepelita (ROU)","€ 12"
"Aleksandr Golovin (RUS)","€ 12"
"Juraj Kucka (SVK)","€ 12"
"Yunus Malli (TUR)","€ 12"
"Olcay Sahan (TUR)","€ 12"
"Mehmet Topal (TUR)","€ 12"
"Ozan Tufan (TUR)","€ 12"
"Kim Källström (SWE)","€ 12"
"Albin Ekdal (SWE)","€ 12"
"Jimmy Durmaz (SWE)","€ 12"
"Blerim Džemaili (SUI)","€ 12"
"Burim Kukeli (ALB)","€ 11"
"Ergys Kaçe (ALB)","€ 11"
"Ledian Memushaj (ALB)","€ 11"
"James McClean (IRL)","€ 11"
"Milan Badelj (CRO)","€ 11"
"Ante Coric (CRO)","€ 11"
"Chris Baird (NIR)","€ 11"
"Stuart Dallas (NIR)","€ 11"
"Niall McGinn (NIR)","€ 11"
"Oliver Norwood (NIR)","€ 11"
"Oleg Ivanov (RUS)","€ 11"
"Vladimír Darida (CZE)","€ 11"
"Hal Robson-Kanu (WAL)","€ 11"
"Oscar Lewicki (SWE)","€ 11"
"Fabian Frei (SUI)","€ 11"
"Migjen Basha (ALB)","€ 10"
"Odise Roshi (ALB)","€ 10"
"Adam Nagy (HUN)","€ 10"
"Johann Berg Guðmunds­son (ISL)","€ 10"
"Aron Einar Gunnarsson (ISL)","€ 10"
"David Meyler (IRL)","€ 10"
"Wes Hoolahan (IRL)","€ 10"
"Glenn Whelan (IRL)","€ 10"
"Aiden McGeady (IRL)","€ 10"
"Marcelo Brozovic (CRO)","€ 10"
"Sergiy Sydorchuk (UKR)","€ 10"
"Sergiy Rybalka (UKR)","€ 10"
"Denys Garmash (UKR)","€ 10"
"Viktor Kovalenko (UKR)","€ 10"
"Marcel Sabitzer (AUT)","€ 10"
"Stefan Ilsanker (AUT)","€ 10"
"Alessandro Schöpf (AUT)","€ 10"
"Martin Harnik (AUT)","€ 10"
"João Mario (POR)","€ 10"
"Lucian Sânmartean (ROU)","€ 10"
"Ovidiu Stefan Hoban (ROU)","€ 10"
"Mihai Doru Pintilii (ROU)","€ 10"
"Adrian Popa (ROU)","€ 10"
"Pavel Mamaev (RUS)","€ 10"
"Ondrej Duda (SVK)","€ 10"
"Jiri Skalák (CZE)","€ 10"
"David Cotterill (WAL)","€ 10"
"David Vaughan (WAL)","€ 10"
"Andy King (WAL)","€ 10"
"Erkan Zengin (SWE)","€ 10"
"Denis Zakaria (SUI)","€ 10"
"Valon Behrami (SUI)","€ 10"
"Gelson Fernandes (SUI)","€ 10"
"Gergo Lovrencsics (HUN)","€ 9"
"Robbie Brady (IRL)","€ 9"
"Stephen Quinn (IRL)","€ 9"
"Jeff Hendrick (IRL)","€ 9"
"Patrik Hrošovský (SVK)","€ 9"
"Róbert Mak (SVK)","€ 9"
"Vladimír Weiss (SVK)","€ 9"
"Daniel Kolár (CZE)","€ 9"
"Borek Dockal (CZE)","€ 9"
"Arnor Ingvi Traustason (ISL)","€ 8"
"Ari Freyr Skúlason (ISL)","€ 8"
"Rúnar Már Sigurjónsson (ISL)","€ 8"
"Kári Árnason (ISL)","€ 8"
"Theódór Elmar Bjarnason (ISL)","€ 8"
"Oleksandr Karavaev (UKR)","€ 8"
"Jakob Jantscher (AUT)","€ 8"
